100;GUMA Winterfresh Original torebka;4009900382250 ;34.000;2.7691;8;4.00
101;GUMA WINTERFRESH   10 drazetek;50173419;39.000;1.5327;8;3.00
102;COCA COLA 0,33l PUSZKA;5449000000996;46.000;1.2900;23;2.50
103;PIWO WARKA CLASSIC  0,5l PUSZKA        ;5902746320020;32.000;1.9500;23;4.00
104;PIWO WARKA STRONG 0,5l PUSZKA       ;5902746320013;20.000;2.4000;23;4.00
105;BATON LION 43g       ;5900862018562;16.000;0.9505;23;2.00
106;CIASTKA Hit Markizy  waniliowe 220 g;5901414203481;3.000;3.6600;23;5.50
107;PAP CAMEL FILTERS KS;59072171;1.000;11.5590;23;16.50
108;PAP L&M LINK GREEN SUPERSL 100  ;5903621161752;13.000;12.0760;23;15.50
